,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
3478,124,Kaoru,Mitoma,Mitoma,Kaoru Mitoma,3,MID,Brighton,29,5600000,5865188,BRE (H) / BOU (A),14,180,1,1,1,3,0,0,0,0,0,0,1,180.0,0,0.25,0.54,3.42,0,6.87,-7.13
15028,535,Marcus,Tavernier,Tavernier,Marcus Tavernier,3,MID,Bournemouth,16,4900000,38857,EVE (H),14,79,1,1,1,0,0,0,0,0,0,0,3,80.0,0,0.51,0.06,0.72,2,6.73,-7.27
13036,465,Jarrod,Bowen,Bowen,Jarrod Bowen,3,MID,West Ham,9,8100000,384826,WOL (H),14,90,1,1,1,0,0,0,0,0,0,0,3,90.0,0,0.31,0.03,0.74,3,6.64,-7.36
14761,526,Ben,Mee,Mee,Ben Mee,2,DEF,Brentford,2,4500000,27610,MUN (H),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,0,0.43,0.0,0.92,2,6.58,-7.42
8424,301,Kevin,De Bruyne,De Bruyne,Kevin De Bruyne,3,MID,Man City,2,12000000,1463650,BOU (H),14,90,1,1,1,0,0,0,0,0,0,0,3,90.0,1,0.2,0.59,0.13,0,5.77,-8.23
4787,171,Michael,Olise,Olise,Michael Olise,3,MID,Crystal Palace,30,5400000,43894,LEE (A),14,90,0,3,0,1,0,0,0,0,0,0,3,90.0,0,0.1,0.9,0.89,0,5.2,-8.8
8208,293,Luis,Luis Díaz,Díaz,Luis Díaz,3,MID,Liverpool,4,8000000,2088008,BOU (H),14,90,2,0,1,0,0,0,0,0,0,0,1,90.0,1,0.37,0.11,0.33,0,5.18,-8.82
1318,47,Jacob,Ramsey,Ramsey,Jacob Ramsey,3,MID,Aston Villa,15,5200000,91786,MUN (H),14,90,1,2,0,1,1,0,0,0,0,0,3,90.0,0,0.18,0.03,0.52,2,4.99,-9.01
12011,429,Matt,Doherty,Doherty,Matt Doherty,2,DEF,Spurs,19,4600000,56367,CRY (A),14,77,1,0,1,0,0,0,0,0,0,0,2,80.0,0,0.26,0.05,0.62,1,4.71,-9.29
443,16,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2,DEF,Arsenal,27,5200000,1552419,FUL (A),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,0,0.3,0.0,0.84,0,3.8,-10.2
12327,440,Rodrigo,Bentancur,Bentancur,Rodrigo Bentancur,3,MID,Spurs,16,5400000,51167,LEE (H),14,90,2,0,0,3,0,0,0,1,0,0,3,90.0,0,0.35,0.01,1.1,0,3.78,-10.22
18329,680,Cody,Gakpo,Gakpo,Cody Gakpo,3,MID,Liverpool,26,7800000,450448,MUN (H),14,78,2,0,1,0,0,0,0,0,0,0,1,80.0,0,0.29,0.09,0.88,0,3.72,-10.28
7658,272,Wesley,W.Fofana,Fofana,Wesley Fofana,2,DEF,Chelsea,26,4300000,87719,LEE (H),14,90,1,0,1,0,0,0,0,1,0,0,3,90.0,0,0.25,0.02,0.94,0,3.56,-10.44
44,2,Bernd,Leno,Leno,Bernd Leno,1,GK,Fulham,19,4500000,521858,LEI (A) / CHE (H),14,180,0,0,1,1,0,0,0,2,0,15,3,180.0,0,0.0,0.0,3.82,0,2.0,-12.0
13406,478,José,Sá,Malheiro de Sá,José Malheiro de Sá,1,GK,Wolves,11,5000000,721289,NFO (H),14,90,0,0,1,0,0,1,0,0,0,2,3,90.0,0,0.0,0.0,1.49,0,2.0,-12.0
7889,281,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,1,GK,Liverpool,11,5400000,1371336,MCI (H),14,90,0,1,1,0,0,0,0,0,0,6,3,90.0,0,0.0,0.0,0.98,0,2.0,-12.0
11096,398,Dean,Henderson,Henderson,Dean Henderson,1,GK,Nott'm Forest,2,4500000,466426,WHU (H),14,90,0,0,1,0,0,1,0,1,0,4,3,90.0,0,0.0,0.0,2.29,0,1.0,-13.0
2283,80,Ivan,Toney,Toney,Ivan Toney,4,FWD,Brentford,27,7800000,8925250,EVE (A) / SOU (A),13,180,1,1,1,1,0,0,0,1,0,0,3,180.0,0,1.35,0.16,1.54,4,13.88,0.88
8898,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,Man City,17,12200000,9219074,LEE (A),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,1.91,0.05,0.59,3,12.79,-0.21
8448,301,Kevin,De Bruyne,De Bruyne,Kevin De Bruyne,3,MID,Man City,29,12000000,2700894,LIV (H),13,90,1,1,0,1,0,0,0,0,0,0,3,90.0,1,0.84,0.63,0.33,3,12.09,-0.91
836,30,Danny,Ings,Ings,Danny Ings,4,FWD,West Ham,25,6400000,151144,NFO (H),13,83,2,0,1,0,0,0,0,0,0,0,3,80.0,1,1.74,0.01,0.37,3,11.99,-1.01
3079,109,Joël,Veltman,Veltman,Joël Veltman,2,DEF,Brighton,26,4600000,279945,WHU (H),13,74,1,0,1,0,0,0,0,0,0,0,1,70.0,1,0.65,0.02,0.38,2,11.96,-1.04
8884,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,Man City,1,11500000,3398599,WHU (A),13,77,2,0,1,0,0,0,0,0,0,0,3,80.0,1,1.66,0.08,0.49,3,11.88,-1.12
297,11,Eddie,Nketiah,Nketiah,Eddie Nketiah,4,FWD,Arsenal,21,6600000,372033,MUN (H),13,90,2,0,0,2,0,0,0,0,0,0,3,90.0,1,1.68,0.01,0.33,3,11.75,-1.25
16658,594,Alexander,Isak,Isak,Alexander Isak,4,FWD,Newcastle,28,6600000,265234,NFO (A),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,1,1.51,0.01,0.38,3,11.07,-1.93
14575,519,Christian,Eriksen,Eriksen,Christian Eriksen,3,MID,Man Utd,16,6300000,302892,FUL (A),13,90,1,1,0,1,0,0,0,0,0,0,3,90.0,0,1.02,0.15,1.37,3,10.55,-2.45
273,10,Benjamin,White,White,Benjamin White,2,DEF,Arsenal,25,4700000,2725098,LEI (A) / EVE (H),13,180,0,0,2,0,0,0,0,0,0,0,1,180.0,1,0.0,0.18,1.38,2,10.54,-2.46
8798,314,Phil,Foden,Foden,Phil Foden,3,MID,Man City,25,8000000,973424,BOU (A),13,90,1,1,0,1,0,0,0,0,0,0,3,90.0,0,0.44,1.09,1.35,3,10.47,-2.53
8894,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,Man City,13,12200000,8983808,BHA (H),13,79,2,0,0,1,0,0,0,0,0,0,3,80.0,1,1.12,0.07,0.41,3,9.69,-3.31
11961,427,Harry,Kane,Kane,Harry Kane,4,FWD,Spurs,27,11700000,4211196,NFO (H),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,1.05,0.13,1.57,3,9.59,-3.41
827,30,Danny,Ings,Ings,Danny Ings,4,FWD,West Ham,16,6600000,138342,BHA (A),13,82,2,0,0,1,0,0,0,0,0,0,3,80.0,1,1.09,0.05,0.33,3,9.51,-3.49
5875,210,Aleksandar,Mitrović,Mitrović,Aleksandar Mitrović,4,FWD,Fulham,1,6500000,509091,LIV (H),13,90,2,0,0,2,0,0,0,0,0,0,3,90.0,0,0.95,0.01,1.23,3,8.83,-4.17
3476,124,Kaoru,Mitoma,Mitoma,Kaoru Mitoma,3,MID,Brighton,26,5400000,1683132,WHU (H),13,82,1,1,1,0,0,0,0,0,0,0,2,80.0,1,0.83,0.08,0.38,1,8.39,-4.61
2273,80,Ivan,Toney,Toney,Ivan Toney,4,FWD,Brentford,16,7400000,1658460,MCI (A),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,1.01,0.08,1.61,2,8.28,-4.72
413,15,Aaron,Ramsdale,Ramsdale,Aaron Ramsdale,1,GK,Arsenal,25,4900000,2744828,LEI (A) / EVE (H),13,180,0,0,2,0,0,0,0,0,0,5,0,180.0,1,0.0,0.0,1.38,0,8.0,-5.0
13845,493,Morgan,Gibbs-White,Gibbs-White,Morgan Gibbs-White,3,MID,Nott'm Forest,15,5500000,27945,BRE (H),13,90,1,1,0,2,0,0,0,0,0,0,3,90.0,0,0.51,0.28,1.46,2,7.39,-5.61
6727,240,Crysencio,Summerville,Summerville,Crysencio Summerville,3,MID,Leeds,15,4400000,38618,BOU (H),13,90,1,1,0,3,0,0,0,0,0,0,3,90.0,0,0.51,0.07,1.47,2,6.76,-6.24
8552,305,Jack,Grealish,Grealish,Jack Grealish,3,MID,Man City,23,6800000,427104,AVL (H) / ARS (A),13,144,1,1,0,2,0,0,0,1,0,0,2,150.0,1,0.17,0.27,1.53,0,6.66,-6.34
8328,297,Darwin,Darwin,Núñez Ribeiro,Darwin Núñez Ribeiro,4,FWD,Liverpool,16,9000000,1115008,SOU (H),13,86,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.71,0.27,1.05,1,6.65,-6.35
5187,185,Abdoulaye,A.Doucouré,Doucouré,Abdoulaye Doucouré,3,MID,Everton,28,5300000,9079,CHE (A),13,90,1,1,0,2,0,0,0,0,0,0,3,90.0,0,0.5,0.01,2.37,2,6.53,-6.47
