,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,expected_fpl_points
12614,484,Max,Kilman,Kilman,Max Kilman,2,DEF,WOL,11,4500000,321307,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.09,0.01,1.49,2.57
7404,284,Andrew,Robertson,Robertson,Andrew Robertson,2,DEF,LIV,11,6700000,281812,MCI (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.09,0.01,0.98,2.57
7444,285,Trent,Alexander-Arnold,Alexander-Arnold,Trent Alexander-Arnold,2,DEF,LIV,26,7300000,2237971,MUN (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.0,0.19,0.88,2.57
10608,409,Kyle,Walker-Peters,Walker-Peters,Kyle Walker-Peters,2,DEF,SOU,12,4500000,146426,BOU (A),6,65,0,0,1,0,0,0,0,0,0,0,0,60.0,0,0.0,0.52,0.73,2.56
13209,507,Moussa,Niakhaté,Niakhaté,Moussa Niakhaté,2,DEF,NFO,2,4500000,13526,WHU (H),6,78,0,0,1,0,0,0,0,0,0,0,0,80.0,0,0.26,0.0,1.9,2.56
8256,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,8,12000000,8407273,WOL (A),6,90,1,0,1,0,0,0,0,0,0,0,0,90.0,1,0.13,0.01,0.41,2.55
13834,530,Chris,Richards,Richards,Chris Richards,2,DEF,CRY,21,4400000,5511,NEW (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.09,0.0,1.41,2.54
14038,538,Ashley,Young,Young,Ashley Young,2,DEF,AVL,13,4400000,133813,BRE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.04,0.1,0.95,2.54
2232,85,Rico,Henry,Henry,Rico Henry,2,DEF,BRE,2,4500000,59834,MUN (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.09,0.0,0.92,2.54
1197,46,Douglas Luiz,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,3,MID,AVL,13,4800000,47330,BRE (H),6,90,0,1,1,0,0,0,0,0,0,0,0,90.0,0,0.06,0.08,0.95,2.54
2932,112,Marc,Cucurella,Cucurella Saseta,Marc Cucurella Saseta,2,DEF,CHE,17,5100000,811813,BOU (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.0,0.18,0.53,2.54
6108,235,Pascal,Struijk,Struijk,Pascal Struijk,2,DEF,LEE,2,4500000,9261,SOU (A),6,90,0,1,0,2,0,0,0,0,0,0,2,90.0,0,0.08,0.01,1.22,2.51
15857,612,Wout,Faes,Faes,Wout Faes,2,DEF,LEI,15,4500000,13207,EVE (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.07,0.03,1.24,2.51
187,8,Kieran,Tierney,Tierney,Kieran Tierney,2,DEF,ARS,8,4800000,98913,BRE (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.02,0.13,0.53,2.51
3325,128,Thiago,Thiago Silva,Emiliano da Silva,Thiago Emiliano da Silva,2,DEF,CHE,22,5500000,973917,FUL (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.07,0.03,0.67,2.51
8078,311,Bernardo,Bernardo,Veiga de Carvalho e Silva,Bernardo Veiga de Carvalho e Silva,3,MID,MCI,5,6900000,823592,NFO (H),6,90,0,1,1,0,0,0,0,0,0,0,0,90.0,0,0.05,0.08,0.66,2.49
15263,585,Emmanuel,Dennis,Dennis,Emmanuel Dennis,4,FWD,NFO,28,5600000,13816,NEW (H),6,78,1,0,0,1,0,0,0,1,0,0,1,80.0,0,0.12,0.0,1.22,2.48
7278,279,Roberto,Firmino,Firmino,Roberto Firmino,4,FWD,LIV,10,7900000,465848,ARS (A),6,48,1,0,0,2,0,0,0,0,0,0,1,50.0,0,0.34,0.04,2.6,2.48
4826,186,Alex,Iwobi,Iwobi,Alex Iwobi,3,MID,EVE,8,5500000,26398,WHU (H),6,90,0,1,1,0,0,0,0,0,0,0,0,90.0,0,0.05,0.07,1.04,2.46
5651,217,Antonee,Robinson,Robinson,Antonee Robinson,2,DEF,FUL,14,4400000,14168,EVE (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.0,0.15,0.94,2.45
4396,170,Tyrick,Mitchell,Mitchell,Tyrick Mitchell,2,DEF,CRY,3,4500000,83765,AVL (H),6,90,0,1,0,1,0,0,0,0,0,0,1,90.0,0,0.0,0.15,0.9,2.45
15851,612,Wout,Faes,Faes,Wout Faes,2,DEF,LEI,9,4500000,2613,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.07,0.01,1.16,2.45
